number_of_authors,age,number_unique_changes,size,lines_added,lines_deleted,buggy,id
3,18,12,177,176,1,0,680
3,18,8,198,197,1,0,555
3,18,11,249,248,1,0,839
2,18,4,111,110,1,0,783
3,18,11,642,638,1,0,883
2,18,5,156,155,1,0,528
3,18,8,227,226,1,0,714
3,18,9,195,194,1,0,649
3,18,8,202,201,1,0,896
4,18,10,161,160,1,0,858
3,18,9,222,221,1,0,755
3,4,8,266,28,28,0,934
3,4,9,198,22,22,0,556
3,4,6,44,3,3,0,971
3,4,12,642,1,1,0,884
2,4,5,156,9,9,0,700
3,4,9,287,20,20,0,598
2,4,5,216,51,51,0,520
4,4,11,161,4,4,0,859
2,4,5,42,2,2,0,574
3,4,14,518,1,1,0,776
2,4,5,53,1,1,0,543
2,4,6,457,27,27,0,870
2,4,6,156,17,17,0,529
2,4,6,77,8,8,0,585
2,4,5,66,3,3,0,536
2,4,5,173,7,7,0,666
2,4,6,108,5,5,0,512
3,4,13,177,1,1,0,681
3,4,15,375,3,3,0,733
2,4,5,171,11,11,0,691
2,4,5,111,11,11,0,784
3,480,6,71,70,70,0,845
4,527,10,287,29,29,0,596
3,527,7,457,3,3,0,868
4,527,10,198,7,7,0,554
3,527,6,173,3,3,0,664
3,527,6,156,91,91,0,698
4,527,16,375,3,3,0,731
3,527,6,171,106,106,0,689
5,527,12,161,5,5,0,857
3,114018,7,116,8,0,0,567
4,113486,17,376,2,1,0,734
4,10,18,376,1,1,0,724
3,114028,9,239,12,0,0,708
2,114024,7,87,10,0,0,580
3,10,8,109,0,7,0,563
3,176714,6,234,21,3,0,514
4,176718,6,121,2,2,0,652
4,176718,8,168,1,1,0,811
4,176186,7,165,11,2,0,693
3,62689,8,97,10,0,0,576
4,176186,7,182,13,4,0,659
4,176186,7,180,11,2,0,684
4,62689,10,268,33,4,0,703
4,178136,15,515,5,8,0,773
4,2830,11,275,22,15,0,713
5,179067,11,219,21,0,0,557
4,50,12,282,7,0,0,715
4,179599,10,171,12,1,0,796
4,1459,16,516,1,0,0,777
4,4323,17,526,15,5,0,775
3,183923,6,133,15,1,0,628
4,188202,13,642,1,1,0,872
4,4283,18,527,3,2,0,759
3,188202,7,163,9,2,0,522
4,8628,13,325,51,8,0,712
4,21,19,547,22,2,0,770
3,11509,9,113,16,0,0,583
6,247464,12,223,4,0,0,545
3,427064,7,204,2,1,0,630
4,427064,9,117,1,0,0,954
4,427064,9,217,2,1,0,610
4,427064,8,189,1,0,0,600
4,427060,14,176,0,1,0,668
4,427064,9,204,2,0,0,887
4,427064,10,196,2,1,0,639
4,243141,7,134,3,2,0,621
5,426532,11,288,1,0,0,587
1,0,1,191,191,0,0,0
7,-7,15,212,211,0,0,389
7,-7,20,913,908,0,0,131
2,-914796,6,41,7,8,0,569
3,-914792,10,251,6,13,0,800
4,-1091510,9,167,6,7,0,812
3,-1103020,10,76,13,50,0,577
1,-1377147,2,0,0,191,0,2
5,-1341856,12,286,53,55,0,588
3,-914792,10,200,5,6,0,944
4,-1091510,8,172,19,29,0,660
4,-1028820,19,375,17,18,0,720
4,-1102999,14,641,7,8,0,876
6,-7,9,37,37,0,0,189
3,-914796,7,43,8,9,0,965
4,-1341856,10,115,5,7,0,956
6,-7,23,319,319,0,0,49
6,-1341856,13,197,34,60,0,547
3,-914796,9,265,33,34,0,926
3,-915324,8,456,35,36,0,863
7,-7,9,38,38,0,0,468
5,-7,9,66,66,0,0,483
3,-914792,9,175,5,6,0,739
5,-915324,13,160,14,15,0,850
3,-914792,8,138,5,6,0,821
2,-914796,6,65,8,9,0,531
3,-914792,10,221,5,6,0,749
4,-1341856,11,194,6,8,0,641
4,-7,5,124,112,0,0,1528
4,-1091510,8,170,117,127,0,685
7,-7,13,257,257,0,0,444
3,-914792,12,120,5,6,0,914
7,-7,26,277,277,0,0,302
3,-915272,7,68,67,70,0,842
3,-1341856,8,202,8,10,0,631
6,-7,19,309,309,0,0,416
4,-1103020,20,517,22,52,0,764
2,-914796,6,110,16,17,0,779
3,-1091510,7,215,58,77,0,515
